date,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,region
2020-05-12,1.348997732624619,1.3475031649211968,1.226978536599579,1.5013423675455386,437.92579144207707,0.0,0.0,0.0,0.0,Santo Domingo
2020-05-13,1.3200380765348845,1.3169321606494182,1.180600236200719,1.4317558321612467,4.3162278317338565,0.0,0.0,0.0,0.0,Santo Domingo
2020-05-14,1.2941822345624687,1.2927489008823503,1.157565854774417,1.3919051807848004,61.191863107485986,0.0,0.0,0.0,0.0,Santo Domingo
2020-05-15,1.2682323939424052,1.2678746493901802,1.1539605487457112,1.365590931213539,116.06344829788834,0.0,0.0,0.0,0.0,Santo Domingo
2020-05-16,1.2412699850162054,1.2411256984339172,1.1370065528023443,1.3403760411613361,124.53211763664713,0.0,0.0,0.0,0.0,Santo Domingo
2020-05-17,1.219597712411634,1.2156385577018458,1.1153564837827046,1.3040208949334462,123.01941314049526,0.0,0.0,0.0,0.0,Santo Domingo
2020-05-18,1.195873577752569,1.1931594949835915,1.111266464372324,1.287043315767567,126.72420237654548,29.66294574693875,0.0,0.0,0.0,Santo Domingo
2020-05-19,1.173438459616665,1.1732036255861875,1.0880703525252295,1.255069765699916,132.6769329140527,46.09658434221264,0.0,0.0,0.0,Santo Domingo
2020-05-20,1.155237769904451,1.1540955804497028,1.063859600779093,1.2273758294170025,138.0014480221165,55.924399818682495,0.0,0.0,0.0,Santo Domingo
2020-05-21,1.1371251510916005,1.1367598604452909,1.0553808812065046,1.2112489752022664,142.5491919487317,64.29974033272838,0.0,0.0,0.0,Santo Domingo
2020-05-22,1.1215000557761416,1.1213341452265928,1.0329638653839797,1.1912961839606848,146.72570506850514,74.95084733168181,221.3761597819147,167.0,501.0,Santo Domingo
2020-05-23,1.1082056427703697,1.1119786873764756,1.0267870306821485,1.1785824490280574,150.6271169125946,82.91146590771119,142.0213209677822,139.0,650.0,Santo Domingo
2020-05-24,1.093495032773432,1.0927931145703544,1.0091880653475365,1.1649324225209,154.20858495083007,93.99970455813713,141.12730186097062,102.0,480.0,Santo Domingo
2020-05-25,1.0785278759013095,1.0748909080715192,0.9992366107057411,1.152355518033454,157.47131017477102,99.45869704576062,112.2661176898101,83.0,491.0,Santo Domingo
2020-05-26,1.0667633249838617,1.06453029646803,0.9961029816963175,1.1454726297185984,160.40211050470762,106.1477091648585,158.17571038045327,151.0,634.0,Santo Domingo
2020-05-27,1.0555639293197068,1.051056842091524,0.9648090475909398,1.116132671927472,162.96077385266003,114.73857365740125,157.40259177840923,114.0,481.0,Santo Domingo
2020-05-28,1.0455923740856516,1.0435756343422584,0.9759822351250449,1.125504367868191,165.16476174327946,119.88223676211054,151.6513850474534,174.0,762.0,Santo Domingo
2020-05-29,1.0348093151972513,1.0315829309268802,0.9640528723318379,1.107826382130451,167.0518706758242,126.05952569095999,114.68885386291969,86.0,498.0,Santo Domingo
2020-05-30,1.0276408786360411,1.0255413953818298,0.9614800347554279,1.106571170977799,168.64045346576563,131.57783854599037,126.18441107569139,114.0,600.0,Santo Domingo
2020-05-31,1.0201370890972594,1.0169811102295037,0.9408913872729536,1.0863414236468456,169.9257019361796,138.4026337941503,121.32110803796272,116.0,635.0,Santo Domingo
2020-06-01,1.0155349629090806,1.0125686997930186,0.9366914653296627,1.0784614624866866,170.50595649012502,142.6738814694008,123.28133448932975,62.0,334.0,Santo Domingo
2020-06-02,1.0088183334565084,1.006382589329867,0.9300609996737418,1.0707767474645942,171.40073533065927,147.10406055816696,129.46908983635444,108.0,554.0,Santo Domingo
2020-06-03,1.0056842030867983,1.0064685610064013,0.9386390909339156,1.0857574808560202,171.9864434773816,151.48352689753494,120.55835453091534,114.0,628.0,Santo Domingo
2020-06-04,1.003971368210095,1.0022866828332453,0.9422157856469503,1.0872969197342475,172.3053249657625,155.60189556665964,132.82569586914883,134.0,670.0,Santo Domingo
2020-06-05,1.003019243716542,1.0011838156616726,0.9386292460692092,1.0789715377347453,172.48126005772912,159.23349439938303,194.4594554908134,118.0,403.0,Santo Domingo
2020-06-06,1.0033086833411478,1.0020894424057714,0.9410245315625326,1.0774618599212442,172.59185453410288,162.91701799430598,142.31324557408803,186.0,868.0,Santo Domingo
